statement_type,item_code,item_name,original_column_name,is_summary_marker,indent_level,non_missing_count,non_missing_rate,sample_min,sample_p1,sample_median,sample_p99,sample_max,unit_inferred,candidate_role_hint
손익계산서,U01B450014300,퇴직연금운용이익(IFRS)(천원)      퇴직연금운용이익(IFRS)(천원)(IFRS)(천원),[[U01B450014300]   퇴직연금운용이익(IFRS)(천원)][U01B450014300]   퇴직연금운용이익(IFRS)(천원)(IFRS)(천원),False,0,4400,0.9392,0.0,0.0,0.0,0.0,0.0,천원,
손익계산서,U01B450099000,기타(IFRS)(천원)      기타(IFRS)(천원)(IFRS)(천원),[[U01B450099000]   기타(IFRS)(천원)][U01B450099000]   기타(IFRS)(천원)(IFRS)(천원),False,0,4400,0.9392,-564000.0,0.0,269317.0,65813937.56000088,1204524000.0,천원,
손익계산서,U01B470000000,기타손실(IFRS)(천원)   기타손실(IFRS)(천원)(IFRS)(천원),[[U01B470000000]기타손실(*)(IFRS)(천원)][U01B470000000]기타손실(*)(IFRS)(천원)(IFRS)(천원),True,0,4400,0.9392,-1727427.0,0.0,1731045.5,600448830.0000012,6044992472.0,천원,
손익계산서,U01B470010000,이자비용(IFRS)(천원)      이자비용(IFRS)(천원)(IFRS)(천원),[[U01B470010000]   이자비용(IFRS)(천원)][U01B470010000]   이자비용(IFRS)(천원)(IFRS)(천원),False,0,3894,0.8312,0.0,0.0,0.0,0.0,27237797.0,천원,금융비용
손익계산서,U01B470010100,외환거래손실(IFRS)(천원)      외환거래손실(IFRS)(천원)(IFRS)(천원),[[U01B470010100]   외환거래손실(*)(IFRS)(천원)][U01B470010100]   외환거래손실(*)(IFRS)(천원)(IFRS)(천원),True,0,4400,0.9392,0.0,0.0,132.5,170118807.2100021,1281211603.0,천원,
손익계산서,U01B470010200,외환차손(IFRS)(천원)         외환차손(IFRS)(천원)(IFRS)(천원),[[U01B470010200]      외환차손(IFRS)(천원)][U01B470010200]      외환차손(IFRS)(천원)(IFRS)(천원),False,0,4400,0.9392,0.0,0.0,0.0,133097895.65000044,1011654000.0,천원,
손익계산서,U01B470010300,외화환산손실(IFRS)(천원)         외화환산손실(IFRS)(천원)(IFRS)(천원),[[U01B470010300]      외화환산손실(IFRS)(천원)][U01B470010300]      외화환산손실(IFRS)(천원)(IFRS)(천원),False,0,4400,0.9392,0.0,0.0,0.0,39205146.37000032,399826523.0,천원,
손익계산서,U01B470010400,기타외환거래손실(IFRS)(천원)         기타외환거래손실(IFRS)(천원)(IFRS)(천원),[[U01B470010400]      기타외환거래손실(IFRS)(천원)][U01B470010400]      기타외환거래손실(IFRS)(천원)(IFRS)(천원),False,0,4400,0.9392,0.0,0.0,0.0,4589379.060000477,560394000.0,천원,
손익계산서,U01B470010500,충당부채전입액(IFRS)(천원)      충당부채전입액(IFRS)(천원)(IFRS)(천원),[[U01B470010500]   충당부채전입액(IFRS)(천원)][U01B470010500]   충당부채전입액(IFRS)(천원)(IFRS)(천원),False,0,4400,0.9392,-1595542.0,0.0,0.0,13719602.500000112,1776169000.0,천원,
손익계산서,U01B470010600,기부금(IFRS)(천원)      기부금(IFRS)(천원)(IFRS)(천원),[[U01B470010600]   기부금(IFRS)(천원)][U01B470010600]   기부금(IFRS)(천원)(IFRS)(천원),False,0,4400,0.9392,0.0,0.0,12331.0,15127530.000000056,128782000.0,천원,
