ratio_id,ratio_name_ko,category,required_items,all_items_found,missing_items,ambiguous_items,available_firm_year_count,available_firm_year_rate,eligible_for_direct_calculation,fallback_possible,fallback_source,decision,availability_status,requires_lag,requires_average_denominator,requires_growth_base,priority
R071,비유동비율,안정성,U01A110000000|U01A600000000,True,,,4457,0.9392,True,False,,use_direct,available_direct,False,False,False,확장
R076,순운전자본/총자산,안정성,U01A111038600|U01A100000000|U01A811026000,True,,,4457,0.9392,True,False,,use_derived_component,available_derived,False,False,False,핵심
R077,운전자본/매출액,안정성,U01A111038600|U01B100000000|U01A811026000,True,,,4457,0.9392,True,False,,use_derived_component,available_derived,False,False,False,확장
R079,이자보상배율,부채상환능력,U01B430000000|U01B550000000,True,,,4457,0.9392,True,False,,use_direct,available_direct,False,False,False,핵심
R080,EBIT 이자보상배율,부채상환능력,U01B430000000|U01B550000000,True,,,4457,0.9392,True,False,,use_derived_component,available_derived,False,False,False,확장
R081,EBITDA 이자보상배율,부채상환능력,U01B350014100|U01B430000000|U01B350014300|U01B550000000,True,,,4457,0.9392,True,False,,use_derived_component,available_derived,False,False,False,핵심
R082,세전이익 이자보상배율,부채상환능력,U01B700000000|U01B550000000,True,,,4457,0.9392,True,False,,use_direct,available_direct,False,False,False,확장
R083,OCF 이자보상배율,부채상환능력,U01D100000000|U01B550000000,True,,,4457,0.9392,True,False,,use_direct,available_direct,False,False,False,확장
R085,금융비용부담률,부채상환능력,U01B100000000|U01B550000000,True,,,4457,0.9392,True,False,,use_direct,available_direct,False,False,False,핵심
R086,이자비용/매출액,부채상환능력,U01B100000000|U01B550000000,True,,,4457,0.9392,True,False,,use_direct,available_direct,False,False,False,확장
R087,이자비용/영업이익,부채상환능력,U01B430000000|U01B550000000,True,,,4457,0.9392,True,False,,use_direct,available_direct,False,False,False,확장
R088,이자비용/EBITDA,부채상환능력,U01B350014100|U01B350014300|U01B430000000|U01B550000000,True,,,4457,0.9392,True,False,,use_derived_component,available_derived,False,False,False,확장
R089,금융비용/EBITDA,부채상환능력,U01B350014100|U01B350014300|U01B430000000|U01B550000000,True,,,4457,0.9392,True,False,,use_derived_component,available_derived,False,False,False,확장
R090,금융비용/영업현금흐름,부채상환능력,U01D100000000|U01B550000000,True,,,4457,0.9392,True,False,,use_direct,available_direct,False,False,False,확장
R091,OCF/총부채,부채상환능력,U01A800000000|U01D100000000,True,,,4457,0.9392,True,False,,use_direct,available_direct,False,False,False,핵심
R092,OCF/총차입금,부채상환능력,U01A811027400|U01A811012800|U01A811026700|U01D100000000|U01A811000000,True,,,4457,0.9392,True,False,,use_derived_component,available_derived,False,False,False,확장
R093,OCF/순차입금,부채상환능력,U01A111050000|U01A811027400|U01A811012800|U01A811026700|U01D100000000|U01A811000000,True,,,4457,0.9392,True,False,,use_derived_component,available_derived,False,False,False,확장
R094,OCF/유동부채,부채상환능력,U01D100000000|U01A811026000,True,,,4457,0.9392,True,False,,use_direct,available_direct,False,False,False,확장
R095,OCF/단기차입금,부채상환능력,U01A811026700|U01D100000000,True,,,4457,0.9392,True,False,,use_direct,available_direct,False,False,False,확장
R099,EBITDA/총차입금,부채상환능력,U01B350014100|U01B350014300|U01A811027400|U01A811012800|U01A811026700|U01A811000000|U01B430000000,True,,,4457,0.9392,True,False,,use_derived_component,available_derived,False,False,False,확장
R100,EBITDA/순차입금,부채상환능력,U01B350014100|U01B350014300|U01A111050000|U01A811027400|U01A811012800|U01A811026700|U01A811000000|U01B430000000,True,,,4457,0.9392,True,False,,use_derived_component,available_derived,False,False,False,확장
R101,총차입금/EBITDA,부채상환능력,U01B350014100|U01B350014300|U01A811027400|U01A811012800|U01A811026700|U01A811000000|U01B430000000,True,,,4457,0.9392,True,False,,use_derived_component,available_derived,False,False,False,확장
R102,순차입금/EBITDA,부채상환능력,U01B350014100|U01B350014300|U01A111050000|U01A811027400|U01A811012800|U01A811026700|U01A811000000|U01B430000000,True,,,4457,0.9392,True,False,,use_derived_component,available_derived,False,False,False,핵심
R103,총부채/EBITDA,부채상환능력,U01B350014100|U01A800000000|U01B430000000|U01B350014300,True,,,4457,0.9392,True,False,,use_derived_component,available_derived,False,False,False,확장
R104,순차입금/OCF,부채상환능력,U01A111050000|U01A811027400|U01A811012800|U01A811026700|U01D100000000|U01A811000000,True,,,4457,0.9392,True,False,,use_derived_component,available_derived,False,False,False,확장
R105,총차입금/OCF,부채상환능력,U01A811027400|U01A811012800|U01D100000000|U01A811026700|U01A811000000,True,,,4457,0.9392,True,False,,use_derived_component,available_derived,False,False,False,확장
R106,총부채/OCF,부채상환능력,U01D100000000|U01A800000000,True,,,4457,0.9392,True,False,,use_direct,available_direct,False,False,False,확장
R107,단기차입금/OCF,부채상환능력,U01D100000000|U01A811026700,True,,,4457,0.9392,True,False,,use_direct,available_direct,False,False,False,확장
R108,단기금융부채/EBITDA,부채상환능력,U01B350014100|U01B350014300|U01A811027400|U01A811026700|U01B430000000,True,,,4457,0.9392,True,False,,use_derived_component,available_derived,False,False,False,확장
