거래소코드,시장,산업코드,산업명,업종코드,회사명,stage00_01_context_source
017680,KOSDAQ,,,,(주)데코앤이,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
078610,KOSDAQ,,,,(주)도움,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
025690,KOSDAQ,,,,(주)동방라이텍,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
055000,KOSDAQ,,,,(주)동서정보기술,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
013450,KOSDAQ,,,,(주)동성하이켐,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
033330,KOSDAQ,,,,(주)두림티앤씨,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
220110,KOSDAQ,,,,(주)드림티엔터테인먼트,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
080140,KOSDAQ,,,,(주)디보스,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
034750,KOSDAQ,,,,(주)디씨씨,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
074130,KOSDAQ,,,,(주)디아이디,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
090090,KOSDAQ,,,,(주)디앤샵,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
051710,KOSDAQ,,,,(주)디에스,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
141020,KOSDAQ,,,,(주)디에스앤엘,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
016040,KOSDAQ,,,,(주)디에스피이엔티,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
045260,KOSDAQ,,,,(주)디에이치패션,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
091690,KOSDAQ,,,,(주)디지텍시스템스,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
037740,KOSDAQ,,,,(주)디지텔,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
030420,KOSDAQ,,,,(주)디패션,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
189700,KOSDAQ,,,,(주)디피앤케이,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
163430,KOSDAQ,,,,(주)디피코,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
285770,KOSDAQ,,,,(주)라이프사이언스테크놀로지,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
017620,KOSDAQ,,,,(주)라인건설,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
060300,KOSDAQ,,,,(주)레드로버,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
047420,KOSDAQ,,,,(주)레이더스컴퍼니,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
004790,KOSDAQ,,,,(주)렉스엘이앤지,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
085370,KOSDAQ,,,,(주)루트로닉,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
033550,KOSDAQ,,,,(주)룩손에너지홀딩스,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
056140,KOSDAQ,,,,(주)리더컴,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
197210,KOSDAQ,,,,(주)리드,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
